Open,High,Low,Close,Adj Close,Volume
331.100006,347,331.100006,344.399994,289.368561,67093
342,346,339.149994,343.100006,288.276306,56858
343,343,325,336,282.31076,88611
336,347,334,339.600006,285.335602,273712
325.100006,349.799988,325.100006,340.5,286.091675,55583
340,356.950012,331.399994,340.299988,285.923706,29809
323,344.600006,323,339.350006,285.125458,32102
339.350006,339.350006,339.350006,339.350006,285.125458,0
321,340.75,321,339.899994,285.587585,22903
339,342.399994,335.600006,341.25,286.721924,11037
337.649994,341.700012,336.049988,339.350006,285.125458,43363
318,340.899994,318,338.649994,284.537415,42282
338.850006,341,334,334.850006,281.344574,45256
339,340.5,335.049988,338.450012,284.369232,39097
336.200012,340.5,325.950012,339.299988,285.083527,21813
330.200012,340,330.200012,338.200012,284.159302,45830
337.950012,338,326.100006,329.950012,277.227509,72890
331,335,322,328.850006,276.303223,97352
330,330,315,319.549988,268.489319,92257
305.049988,316.950012,305,311.649994,261.851654,174713
310.350006,314,305,307.950012,258.742828,42153
302,318,296.100006,305.450012,256.642395,90155
309,330,305.100006,316.299988,265.758606,51846
320,324.950012,318,320.450012,269.245483,7728
313.149994,320,307,315.75,265.296539,9545
316.100006,320,312,314.100006,263.910248,6360
314.200012,314.200012,304,309,259.625122,44247
306,313,302.100006,309.75,260.255157,7824
309.350006,309.399994,296,302.950012,254.541794,53366
295.899994,310,293.5,306.950012,257.902618,44065
302.799988,319.75,300,309.399994,259.961182,61841
309,309,294,297.450012,249.92067,30961
292.100006,296,246,250.550003,210.514801,18396
228,279.549988,228,259.899994,218.370758,169976
232.050003,260,213.949997,238.449997,200.348251,22317
220,230.199997,215,228.449997,191.946091,392883
232,253,216.100006,239.449997,201.1884,107251
252,253,237,240.100006,201.734573,323114
205.600006,247.899994,205.600006,241.699997,203.078903,19432
227,249,202,240.449997,202.028656,17658
238,248.5,231,234.800003,197.281433,11316
248,249,220.100006,224.600006,188.711334,67997
222,237.5,216.25,220.199997,185.014359,20433
219.899994,220,202,213.25,179.174881,12410
201,225,199,212.199997,178.292694,31249
212.5,215,199,206.649994,173.629517,26066
199,210,190.199997,201.949997,169.680542,119829
210,213.899994,205.100006,206,173.08342,583473
200.100006,220,200.100006,214.649994,180.351196,110390
220,233,205.949997,214.25,180.015121,7344
211,217,206.199997,214.300003,180.057144,6622
218.25,221,215.149994,217.050003,182.367752,5667
216,224,209,213.899994,179.721039,72941
206.649994,216.899994,205,213.800003,179.637024,111093
215,221,208,216.25,182.527359,22185
211.899994,219.899994,210.050003,211.300003,178.349289,6560
210,210,202.949997,205.149994,173.158356,10746
209,209,199,204.699997,172.778473,71842
205,205,202,203.100006,171.428055,76210
200.100006,204.5,195.100006,200.350006,169.106857,196905
200,201.800003,193,197.850006,166.99675,308714
197.850006,197.850006,197.850006,197.850006,166.99675,0
194.5,199,191.050003,195.149994,164.717773,336880
188,202.25,188,195.100006,164.675568,273632
196,210,196,199.5,168.38942,128340
193,207,191,200.050003,168.853653,204722
200.050003,200.050003,200.050003,200.050003,168.853653,0
195,226,195,222.300003,187.633942,25188
224.899994,228,212.649994,216.850006,183.033798,48591
208.149994,219,203,207.149994,174.846481,26764
205,208,200,206.050003,173.91803,55253
209.850006,209.850006,199,201.449997,170.035355,605092
200,204.800003,196.149994,200.199997,168.98024,232803
203,213,198.25,201.949997,170.457367,153395
210,210,196.25,198.699997,167.714188,382726
195.300003,197.699997,184,190.300003,160.6241,106813
187.949997,190.949997,180.800003,189.699997,160.117706,137507
200,200,190.399994,199.649994,168.516037,20663
196.100006,204.5,195,198.199997,167.292175,19675
203,204.449997,194,199.949997,168.769257,19145
198.300003,202,191.350006,198.75,167.756409,1883970
199.850006,203.300003,195.149994,198,167.123383,1692661
199.899994,203,195,196,165.435226,29458
195,199.399994,193.649994,197.050003,166.321472,12968
199,199,191.899994,195.050003,164.633408,18891
195.050003,199.850006,194,195,164.591141,6713
195,198,194.100006,195,164.591141,6892
195.5,198.649994,193.149994,195.399994,164.928741,13451
196,197.949997,192.550003,194.949997,164.54895,7735
194,195.899994,193,194.649994,164.295761,141688
199,202.5,195,198.449997,167.503189,750201
197,197.850006,194.75,195.050003,164.633408,516141
197.699997,197.699997,189.300003,193.199997,163.071899,40685
186.300003,196,186.300003,195,164.591141,713684
195,198.899994,190.050003,195,164.591141,10856
